ZCODE,the_geom,ZONE_TYPE,GlobalID,PUD_TYPE_N,PUD_TYPE,SHAPE_area,SHAPE_len
3,"MULTIPOLYGON (((-71.13194143955134 42.40094260372516, -71.13155415950445 42.40072205973272, -71.13143682276302 42.40081242986368, -71.13143114280368 42.40080870720092, -71.13112372255789 42.40060768073468, -71.13121307401762 42.40053557896161, -71.13200526138083 42.3999198520564, -71.13235022863626 42.40010713868649, -71.13271092054349 42.40030292613949, -71.13263374195259 42.40035124954622, -71.13245659894488 42.400469748422694, -71.13238776335771 42.400515820744296, -71.13231935534783 42.40056474820626, -71.1322052969713 42.40067096278229, -71.13200778845214 42.40087863249331, -71.13194143955134 42.40094260372516)))",C-3,{5E9817DE-67B1-4577-8988-12316D0900FD},,,76518.30745,1186.32924435
19,"MULTIPOLYGON (((-71.13490707281157 42.39794489633355, -71.13487653552673 42.39794386646967, -71.13484599935232 42.39794264451731, -71.13481546428861 42.39794123047658, -71.13478496719874 42.397939651904935, -71.13475447106164 42.39793790868496, -71.13475468736195 42.39788124463757, -71.13475481894172 42.39785846939924, -71.13475573361832 42.39764888138066, -71.13486348931879 42.39765150090005, -71.13498169178216 42.3976593946004, -71.13509978321126 42.39766728782722, -71.13521787482823 42.39767515349271, -71.13524697987091 42.397468810486046, -71.1353320248617 42.397474211398375, -71.1354587781471 42.39748226890894, -71.1362991996445 42.39753566568955, -71.13637380847 42.39754040171498, -71.13650278203026 42.39754868461471, -71.13666521111756 42.39755910360423, -71.13693044482667 42.39757687153819, -71.13703247496665 42.39758369680692, -71.13704537851422 42.39758667364397, -71.1370591669491 42.397590284402966, -71.13706452777947 42.39759156357541, -71.13649874271209 42.397703903038604, -71.13649466642649 42.397704576176324, -71.13649144226152 42.39770514224341, -71.136138574521 42.39776502740317, -71.13580518228308 42.397811609572074, -71.13580492297561 42.39781163619201, -71.13580524636711 42.39781333852947, -71.13582065925729 42.39790127938163, -71.13578658075937 42.397904436956324, -71.13575250209989 42.397907621961004, -71.1357184606165 42.3979107796327, -71.13568438195017 42.39791396461723, -71.13565034045997 42.39791712226878, -71.13561626194495 42.39792027979304, -71.13558218326833 42.397923464747265, -71.13554814160973 42.397926649808646, -71.13551406308446 42.39792980730265, -71.13547850575598 42.39793260337522, -71.13544291282702 42.397935152359075, -71.13540728429794 42.397937454254205, -71.1353716570324 42.39793953661795, -71.13533595698787 42.397941399215654, -71.13530029570393 42.3979429600791, -71.13526459850493 42.39794432873386, -71.13525767407415 42.39794455375198, -71.13522882884482 42.39794542274236, -71.1351930971549 42.397946352216806, -71.13515736704751 42.39794700727974, -71.13512160134323 42.39794741525374, -71.13508583706403 42.39794757625625, -71.13505007405186 42.397947517727246, -71.13501431230709 42.397947239666756, -71.13497855214698 42.397946687194704, -71.13494283027643 42.39794591530863, -71.13490707281157 42.39794489633355)))",IA-1,{95C570E2-E82C-434D-B890-616D5615BDFD},,,58778.862,1471.03557154
12,"MULTIPOLYGON (((-71.13717724171796 42.39704631855294, -71.13715651950693 42.39715425922538, -71.13712498197424 42.39732755661817, -71.13710001936339 42.397477632585485, -71.13708667573843 42.397557771787774, -71.13708010520666 42.39759309449244, -71.13708006676775 42.397593341336155, -71.13707338295954 42.397629047850565, -71.1370434231754 42.39783053162025, -71.13623833046975 42.39796124084204, -71.1361349561763 42.397975594723576, -71.13609494648347 42.39798007822251, -71.13605415886063 42.397984641568975, -71.13573600760664 42.398020268079414, -71.1355941253293 42.398189593547635, -71.1355788776636 42.398188639725774, -71.1347443651983 42.39813635409548, -71.13415744269213 42.398099585353286, -71.13280736470922 42.39801493952107, -71.13281208187563 42.39792305616588, -71.13238385016949 42.39789710224931, -71.13201120623044 42.39787453505037, -71.13203666824643 42.397857027073435, -71.1315837316702 42.39782676533475, -71.13098380191113 42.397786590998365, -71.13097963800304 42.397681754724225, -71.1315108409494 42.39771781247964, -71.13159455143068 42.397723513726525, -71.13187558514802 42.39774260615839, -71.13210236639429 42.39775798464291, -71.1321498468497 42.39776120976713, -71.13221275944996 42.39776547205348, -71.13249804939765 42.39778485097209, -71.13277430982085 42.397803596676866, -71.13324334233464 42.39783541425793, -71.13330381246868 42.39783953096031, -71.13415861201563 42.39789751686524, -71.13475447106164 42.39793790868496, -71.13478496719874 42.397939651904935, -71.13481546428861 42.39794123047658, -71.13484599935232 42.39794264451731, -71.13487653552673 42.39794386646967, -71.13490707281157 42.39794489633355, -71.13494283027643 42.39794591530863, -71.13497855214698 42.397946687194704, -71.13501431230709 42.397947239666756, -71.13505007405186 42.397947517727246, -71.13508583706403 42.39794757625625, -71.13512160134323 42.39794741525374, -71.13515736704751 42.39794700727974, -71.1351930971549 42.397946352216806, -71.13522882884482 42.39794542274236, -71.13525767407415 42.39794455375198, -71.13526459850493 42.39794432873386, -71.13530029570393 42.3979429600791, -71.13533595698787 42.397941399215654, -71.1353716570324 42.39793953661795, -71.13540728429794 42.397937454254205, -71.13544291282702 42.397935152359075, -71.13547850575598 42.39793260337522, -71.13551406308446 42.39792980730265, -71.13554814160973 42.397926649808646, -71.13558218326833 42.397923464747265, -71.13561626194495 42.39792027979304, -71.13565034045997 42.39791712226878, -71.13568438195017 42.39791396461723, -71.1357184606165 42.3979107796327, -71.13575250209989 42.397907621961004, -71.13578658075937 42.397904436956324, -71.13582065925729 42.39790127938163, -71.13580524636711 42.39781333852947, -71.13580492297561 42.39781163619201, -71.13580518228308 42.397811609572074, -71.136138574521 42.39776502740317, -71.13649144226152 42.39770514224341, -71.13649466642649 42.397704576176324, -71.13649874271209 42.397703903038604, -71.13706452777947 42.39759156357541, -71.1370591669491 42.397590284402966, -71.13704537851422 42.39758667364397, -71.13703247496665 42.39758369680692, -71.13693044482667 42.39757687153819, -71.13692688771984 42.397532269424346, -71.13686774646605 42.39752884483235, -71.13674894568128 42.397521993921174, -71.13673842458061 42.397323455774924, -71.13673498571755 42.39725830105296, -71.13673514555859 42.39717249495504, -71.1368865030578 42.39717022859179, -71.13688570281226 42.39715485935813, -71.13689669866868 42.397154784291764, -71.13688795710011 42.39704598236344, -71.13687565884214 42.39689252342943, -71.1368703872959 42.39675324598748, -71.1368652090248 42.396617069617655, -71.13686006779662 42.396480893360064, -71.13685482545877 42.39634298802372, -71.13684965087997 42.39620618051874, -71.13684450830013 42.39607025120789, -71.13683926949797 42.39593174217622, -71.13683672665742 42.395865273116954, -71.13683402693576 42.395793891701274, -71.13637855294168 42.3958014813055, -71.13637650490627 42.39575205438428, -71.13637631434956 42.39574656566999, -71.13637474347571 42.39569785371047, -71.13637355522675 42.3956662933103, -71.13682892018217 42.395658182013904, -71.136824705468 42.39554763813218, -71.13681853535465 42.39538437475576, -71.13681339196273 42.395248610057735, -71.13680677078266 42.39507365556495, -71.13680313580191 42.39497820580766, -71.13679275655747 42.394703465541205, -71.13678751514438 42.39456545038407, -71.13678224477454 42.39442603566177, -71.13678041085964 42.39437795399645, -71.13677690997876 42.39429139539036, -71.13677139751897 42.39415546484677, -71.1367655903767 42.39401283786892, -71.13675482704649 42.39374701450983, -71.13692699436297 42.39376182696127, -71.13833523273415 42.39388285662046, -71.13838153118382 42.39438354553433, -71.1384064030836 42.39464343097097, -71.13840081859634 42.394655404949596, -71.1383763052423 42.394708233326334, -71.1382334315838 42.39469104550243, -71.13815877612727 42.39468208467569, -71.13804179880442 42.394668023943346, -71.13803795128908 42.39466757279191, -71.13796148318932 42.39465838661075, -71.13792029565593 42.39493356820665, -71.13799138718171 42.39502190352524, -71.13799282339794 42.39521072655495, -71.13805693058451 42.39521287649033, -71.13841496668798 42.39560582583039, -71.13846486045732 42.39648805926812, -71.13847702025066 42.39681529861332, -71.13847881332768 42.39686428562972, -71.13846368875758 42.39686775050434, -71.13769726276703 42.39704351156879, -71.13717724171796 42.39704631855294)))",OS,{25A998DC-FFF9-4EA6-B3C5-E0844F1E3AA6},,,602131.8899,7585.86632465
279,"MULTIPOLYGON (((-71.13833523273415 42.39388285662046, -71.13692699436297 42.39376182696127, -71.13693358154057 42.3936655313335, -71.1369334150397 42.39366229282049, -71.13693287819206 42.39365908057953, -71.13693200785914 42.39365592216757, -71.1369176852491 42.393448947606664, -71.13691659062617 42.393433275584535, -71.13735849963568 42.39347064369327, -71.13735872174853 42.39347064439325, -71.1377291070588 42.39350199568844, -71.13791034166503 42.39351716450351, -71.13809708965289 42.39353278942195, -71.1380982542004 42.393529829502675, -71.13810058313798 42.39352393710417, -71.13828430192677 42.393538454568734, -71.13828488838978 42.39354594768846, -71.13828551061583 42.3935536604452, -71.13846394164128 42.393567145699556, -71.13846163436565 42.393582203324335, -71.13842298729604 42.393834425384895, -71.13855348797071 42.393846278089, -71.13860366224644 42.393850551764686, -71.13864624136149 42.39357090142284, -71.13880193869021 42.3935850556556, -71.13905128389013 42.39360773563773, -71.1391796382149 42.39361938881688, -71.13939890233567 42.39363933942255, -71.13959999953313 42.39365761371914, -71.139547663598 42.39398706590439, -71.13833523273415 42.39388285662046)))",C-1A,{FF2131C8-4612-42CC-89F6-B7B47E9A6F58},MXR,MXR,81639.6176,1891.00320359
20,"MULTIPOLYGON (((-71.13121118008623 42.393821856039295, -71.1308189642675 42.39382685481745, -71.1308176838908 42.39372913480024, -71.1308067010082 42.393587615922925, -71.13103205574801 42.39338810480084, -71.13112566815366 42.39338977695656, -71.13162125999882 42.39341938141717, -71.13161817547899 42.39368192302601, -71.13161664568027 42.393811053499064, -71.13157451310683 42.39381176926781, -71.13121118008623 42.393821856039295)))",BA-1,{4EDBAFBF-0C9D-4B73-8ECE-A3A232F9ABBC},,,31353.6987,700.008303048
284,"MULTIPOLYGON (((-71.13691659062617 42.393433275584535, -71.13691631527655 42.39342965255985, -71.13686938753705 42.3927506245987, -71.13685334801711 42.392752412499455, -71.13683257695622 42.3925983229712, -71.13668634530038 42.39250286206655, -71.13664523971514 42.39253760925234, -71.13659161389303 42.392502864771984, -71.1366308657356 42.392468605681664, -71.13659812493519 42.39244564428193, -71.13641356308432 42.392456037494846, -71.13638020167049 42.39191019374877, -71.1363715737416 42.39176903955055, -71.13633949882865 42.391385812700875, -71.13633523496392 42.3913355006255, -71.13783342991428 42.39159517637239, -71.13785798578394 42.39159942462704, -71.13789799997512 42.39160635581915, -71.13784522029138 42.39166949514546, -71.13775829796243 42.39177341343877, -71.13769232647904 42.39185818922502, -71.13749735725844 42.39210871138768, -71.13737156101615 42.39242615927649, -71.1373395206544 42.39250692569033, -71.13723197797115 42.392778385639104, -71.13710168776878 42.39318176290967, -71.1370630320488 42.39342169114865, -71.1373612866176 42.39344299237761, -71.13735849963568 42.39347064369327, -71.13691659062617 42.393433275584535)))",C-1A,{7112D56D-D79A-4D91-B004-C4F803CC8A71},,,153307.9709,2237.11855732
263,"MULTIPOLYGON (((-71.12767474454161 42.39159326796588, -71.12772237497178 42.39052024753737, -71.12772310834666 42.390515145957316, -71.12772443367122 42.39051010117369, -71.12772635062208 42.39050516806651, -71.12772885903769 42.39050037407594, -71.12773188456066 42.39049577384256, -71.12773546420797 42.39049136748608, -71.12773952362225 42.3904872096471, -71.127744025625 42.39048332764587, -71.12774900691005 42.39047977648229, -71.12775435658784 42.39047652835697, -71.12776011135233 42.390473638269754, -71.12776612297392 42.39047113318171, -71.12777246532517 42.39046904077229, -71.12777899049964 42.390467333122444, -71.1277856981743 42.39046606511231, -71.12779251431523 42.39046523650232, -71.12779940190559 42.39046484717275, -71.12780636094554 42.390464897123614, -71.12781324336703 42.390465385875935, -71.12782004917018 42.390466313429705, -71.12913651159994 42.3906618250427, -71.12912326188939 42.391008466906975, -71.12911593653678 42.391197069984585, -71.1290990309565 42.39163049462996, -71.12909845733003 42.39164624368376, -71.12767474454161 42.39159326796588)))",OS,{1309B90F-21A9-48C8-A2FC-06A73DDC1AA0},,,148725.42455,1535.33176977
264,"MULTIPOLYGON (((-71.12753484660192 42.391437089802416, -71.12705831156612 42.39142426820559, -71.12706199848596 42.391332655985956, -71.1270674185795 42.39119824204128, -71.12707305189818 42.39105905411817, -71.12707670548046 42.39096681064846, -71.127078461308 42.39092016731135, -71.1270836115736 42.39078127966005, -71.12708857506861 42.39064894970366, -71.12709310962562 42.390526579293365, -71.1270976355878 42.39040566320379, -71.12721285573586 42.390408369004255, -71.12754610228963 42.39041869566104, -71.1275498347029 42.39041977792614, -71.12755345461058 42.39042110679245, -71.12755685128492 42.3904226270203, -71.12756009843669 42.39042439372954, -71.1275630853382 42.39042635168056, -71.12756588602339 42.39042850111305, -71.127568389603 42.39043081422746, -71.12757063325553 42.390433263703535, -71.12757254278536 42.39043587674176, -71.12757415569436 42.39043857114172, -71.12757547165927 42.39044140178358, -71.12757645414793 42.39044428622728, -71.1275770661432 42.39044722435301, -71.12757738200233 42.39045016152032, -71.12756965542464 42.39064326349942, -71.12756748437718 42.39069761631202, -71.1275667461459 42.39071610889055, -71.12756522345167 42.390754658012234, -71.12755017679552 42.3911032421824, -71.12754859507963 42.39113923913336, -71.12754632231989 42.39119200005522, -71.1275431910456 42.391264817277474, -71.12754221000512 42.39128682146453, -71.12754022723068 42.39132805827057, -71.12753484660192 42.391437089802416)))",OS,{263DB8F4-F775-4A14-907A-0A2E3961B55A},,,48059.926,996.416622517
265,"MULTIPOLYGON (((-71.12714830214512 42.38979228279867, -71.12921398345983 42.39014531324167, -71.1292791431071 42.390156444556986, -71.12928028966418 42.39015661289469, -71.12928018921409 42.39022425366544, -71.1292801554928 42.390261572780794, -71.12927976145134 42.39054975274343, -71.12927132992311 42.390548298666715, -71.12922005675414 42.39054259045573, -71.12897641734875 42.39051537980264, -71.12840411223294 42.3904289884897, -71.12784815903217 42.390344540613334, -71.12763411723253 42.39031407508174, -71.12730596192259 42.39030675619491, -71.12711182606108 42.39030308131676, -71.12712352867138 42.390139024398536, -71.12713288974494 42.39000794349911, -71.12714830214512 42.38979228279867)))",OS,{1741E27D-FD82-40B6-9CC7-59700B355C8D},,,91671.5178,1514.7527788
78,"MULTIPOLYGON (((-71.12704172152542 42.379532868269294, -71.12674651958791 42.37906248319408, -71.12686174422488 42.37902328751611, -71.1270037812276 42.37897501347023, -71.1271367692246 42.378929810718034, -71.12753903260861 42.37879308715406, -71.1278294262071 42.37926372906153, -71.12704172152542 42.379532868269294)))",C-2,{286D9DE6-CFCB-4661-8D9F-B37E4AB70A82},,,44369.1407,847.584745795
