Application Number,Application Date,Type of Request,Description of Request,Status of Request,Location,Reason for Petition,Reason for Petition (Other),Zoning Use Classification,Variance Board of Appeals,Board of Appeals Special Permit,Current Use,Proposed Use,Zoning District,Special Permit Hearing Deadline,Special Permit Decision Deadline,Variance Hearing Deadline,Variance Decision Deadline,Applied Online,Zoning Ordinance Cited Article (field1),Zoning Ordinance Cited Section (field1),Zoning Ordinance Cited Article (field2),Zoning Ordinance Cited Section (field2),Zoning Ordinance Cited Article (field3),Zoning Ordinance Cited Section (field3),Zoning Ordinance Cited Article (field4),Zoning Ordinance Cited Section (field4),Zoning Ordinance Cited Article (field5),Zoning Ordinance Cited Section (field5),Zoning Ordinance Cited Article (field6),Zoning Ordinance Cited Section (field6),Zoning Ordinance Cited Article (field7),Zoning Ordinance Cited Section (field7),Desc Of Relief Req,Summary For Publication,Total Gross Floor Area,Requested Total Gross Flr Area,Ordinance Total Gross Flr Area,Exisiting Lot Area,Requested Lot Area,Ordinance Lot Area,Existing Gross Floor Area Ratio,Requested Gross Floor Area Ratio,Ordinance Gross Floor Area Ratio,Existing Lot Area Dwelling Unit,Requested Lot Area Dwelling Unit,Ordinance Lot Area Dwelling Unit,Requested Size of Lot Width,Existing Size of Lot Width,Ordinance Size of Lot Width,Requested Size of Lot Depth,Existing Size of Lot Depth,Ordinance Size of Lot Depth,Existing Setbacks Front,Requested Setbacks Front,Ordinance Setbacks Front,Existing Setbacks Back,Requested Setbacks Back,Ordinance Setbacks Rear,Existing Setbacks Left Side,Requested Setbacks Left Side,Ordinance Setbacks Left Side,Existing Setbacks Right Side,Requested Setbacks Right Side,Ordinance Setbacks Right Side,Existing Size of Building Height,Requested Size of Building Height,Ordinance Size of Building Height,Existing Size Of Building Length,Requested Size of Building Length,Ordinance Size of Building Length,Existing Size of Building Width,Requested Size of Building Width,Ordinance Size of Building Width,Existing Usable Open Space Ratio,Requested Usable Open Space Ratio,Ordinance Useable Open Space Ratio,Existing No of Dwelling Units,Requested No of Dwelling Units,Ordinance No of Dwelling Units,Existing No of Parking Spaces,Requested No of Parking Spaces,Ordinance No of Parking Spaces,Existing No of Loading Areas,Requested No of Loading Areas,Ordinance No Of Loading Areas,Existing Distance to Nearest Bldg,Requested Distance to Nearest Bldg,Ordinance Distance to Nearest Building,Description of Other Occupancies,Literal Enforcement,Desirable Relief Public Good,Desirable Relief Nullifying,Land Topography Hardship,Requirements Of Ordinance,TrafficPatterns,Continued Operation,Nuisance Or Hazard,Other Reasons,Petitioner City,Petitioner State,Decision Date
BZA-017279-2020,03/03/2020,Variance,Variance:  To legalize a second floor deck which was built due to a misunderstanding regarding the scope of construction.,Under Review,"370 372 Windsor St
Cambridge, MA
(42.370203, -71.094246)",,,,Yes,No,multifamily,multifamily,Residence C-1 Zone,,,09/02/2020,10/07/2020,Yes,5.000,5.31 (Table of Dimensional Requirements).,,,,,,,,,,,,,Second floor deck addition is constructed within the side and rear setbacks.  The work inlcuded a roofing membrane over the first floor porch.  Petitioner proposes that the deck and roofing condition be permitted to remain.  Building permit #48803) was issued for construction of the second floor deck and was later revoked due to a misunderstanding regarding the scope of construction planned.,Variance:  To legalize a second floor deck which was built due to a misunderstanding regarding the scope of construction.,5476,5894,,4707,,5000,1.16,1.25,.75,,,,,50,,,101,,7.3,7.3,16,18.23,18.23,20,5,5,12,5,5,12,20,,,44,,,40,,,58%,58%,30%,,,,n/a,,,n/a,,,n/a,,,,"There was a misunderstanding about the scope of construction.  A building permit was issued, and much of the construction is complete.",Open space requirements are met.,The second floor deck is simply a vertical extension of the existing first floor deck.,"There is a rat infestation issue in the neighborhood, rendering the back yard unusable.  As a solution, decks are offered to the building tenants.  It will be difficult to rent the units without substantial outdoor space.",,,,,,Cambridge,MA,
BZA-002470-2013,10/16/2013,Special Permit,Special Permit:  To expand the existing Automobile Service Station to dispense compressed natural gas.,Approved,"1001 Cambridge St
Cambridge, MA
(42.372788, -71.09361)",,,,No,Yes,Automobile Service Station,Automobile Service Station,Business A Zone,12/22/2013,02/12/2014,,,Yes,4.000,4.36g (Table of Use Regulations).,10.000,10.40 (Special Permit).,8.000,8.22 (Extesion of Existing Non-Conforming use).,,,,,,,,,Petitioner seeks to expand the existing Automobile Service Station to dispense compressed natural gas.,Special Permit:  To expand the existing Automobile Service Station to dispense compressed natural gas.,3480 sf,no change,27877.5 sf,15930 sf,no change,none,.22,no change,1.75,N/A,no change,N/A,no change,165',none,no change,103.05',N/A,59',no change,none,N/A,no change,20',<1,no change,none,40',no change,none,25',no change,45',0',no change,N/A,47.4',no change,N/A,0,no change,none,0,no change,N/A,9,6,0,N/A,no change,N/A,N/A,no change,N/A,,,,,,Section 4.36.g permits the use of the property as an Automobile Service Station upon the issuance of a Special Permit.,The building is currently being operated as an Automobile Service Station.  Access patterns into and out of the service station will not change with the isntallation of a CNG dispenser.,The continued operation of surrounding uses will not be adversely affected by the introduction of a CNG dispenser at this service station since it will not materially change the nature of the existing gas station which has operated at this location for decades.,No hazards or threats to public health and safety will be created from dispensing compressed natural gas at this location.  The petitioner has met at this site with representatives of the Fire Department to address any concerns.,The Ordinance recognizes that such a use is compatible in business districts.  Introducing a CNG dispenser in Cambridge is consistent with the City's environmental goals.,"Cambridge,",MA,01/29/2014
BZA-002472-2013,10/16/2013,Variance,Variance:  Convert the Unit A at 199 Prospect Street from office to residential.,Approved,"199 Prospect Street
Cambridge, MA
(42.370303, -71.100328)",,,,Yes,No,Office,Residential,Residence C-1 Zone,,,12/21/2013,01/25/2014,Yes,5.000,5.31 (Table of Dimensional Requirements).,6.000,6.36 (Reduction of Required Parking).,,,,,,,,,,,Convert the Unit A at 199 Prospect Street from office to residential.,Variance:  Convert the Unit A at 199 Prospect Street from office to residential.,8000,No change,6750,6988,No chage,5000,1.5,1.15,0.75,875,776,1500,No change,67.7,50,No change,110,N.A.,50,No change,24,25,No change,24,10,No change,19.4,4,No change,19.4,35,No change,35,62,No change,N.A.,34,No change,N.A.,41%,No change,15%,8,10,5,9,9,10,N.A.,N.A.,N.A.,20,No change,N.A.,,See attached,See attached,See attached,See attached,,,,,,Woonsocket,Ri,12/23/2013
BZA-003139-2014,01/24/2014,Variance,Variance:  To construct a three story two family duplex structure that exceeds allowable Gross Floor Area of the district.,Withdrawn,"69 CLARENDON AVENUE
Cambridge, MA
(42.400851, -71.13081)",,,,Yes,No,Residential,Residential,Residence B Zone,,,04/02/2014,05/07/2014,Yes,5.000,5.31 (Table of Dimensional Requirements).,10.000,10.31 (Variance).,,,,,,,,,,,Petitioner request Variance relief to construct a  three story two family duplex structure that exceeds allowable Gross Floor Area of the district.,Variance:  To construct a three story two family duplex structure that exceeds allowable Gross Floor Area of the district.,"2,365sf","4,329sf","3,151sf","6,302sf","6,302sf","5,000sf",.38,.686,.5,3151,3151,"2,500sf",68.50',68.50',50',92',92',0,"4'-11""",15',15',"38'-2""",25',25',"16'-6""",9.26',"7'-6""","9'-1""",29.49',"7'-6""",27'-11,33',35',"42'-4.5""",52',0,"42'-5.5""","27'-9""",0,33%,66%,40%,2,2,2.5,2,2,2,0,0,0,0,0,10',Proposed structure is wood framed modular duplex.,A literal enforcement of the Ordinance would be a substantial hardship to the Petitioner because Petitioner side of the Duplex is too small to adequately allow Petitioner and their two children to comfortably remain in their home.  Both of Petitioner's children have developmental disability which requires additional functional play/therapy space that is not possible in the existing dwelling.  The Petitioners are long-time Cambridge residents and members of the Cambridge Police Department.  Granting relief will allow Petitioner to comfortably remain in their home and maintain much needed income from the rental unit.,"Desirable relief may be granted without detriment to the public good as the proposed duplex will cure many of the existing setback violations, allow for greater percentage of open space and add new residential construction to Cambridge's aging housing stock.",Relief may be granted without nullifying or substantially derogating from the intent & purpose of the Ordinance as the proposed Duplex is requesting less additional gross floor area than was approved for this lot is BZA case No. 9557 and brings the property into greater conformity with the dimensional regulations of the district.,"The hardship is owing siting of the pre-existing non-conforming structure on the lot such that the additional floor area necessary to accommodate Petitioner's need would require relief and would further violate the dimensional setbacks.  Additionally the dwelling will conform to all the setback requirements, open space and provide quality family housing to Cambridge housing stock.",,,,,,"Cambridge,",MA,06/05/2014
BZA-005363-2014,10/14/2014,Variance,Variance:  To construct an addition of 2-story bay window to front elevation.,Approved,"25 ALPINE ST
Cambridge, MA
(42.38418, -71.138123)",,Addition of bay to front.,SF Residential,Yes,No,SF Residential,SF REsidential,Residence B Zone,,,12/21/2014,01/25/2015,Yes,5.000,5.24.2 (Setback).,5.000,5.31 (Table of Dimensional Requirements).,,,,,,,,,,,Addition of 2-story bay window to front elevation.,Variance:  To construct an addition of 2-story bay window to front elevation.,"1,613",1640,"2,577","5,220","5,220","5,000 min",0.309,0.314,0.5,"5,220","5,220","2,500",58.0,58.0,50.0,90.0,90.0,N/A,14.7,14.7,15.0,52.9,52.9,25 min,10.2,10.2,7.5(sum 20),7.8,7.8,7.5(sum 20),23.8,23.8,35,40.0,40.0,N/A,22.4 max,22.4,N/A,77.2 %,78.3 %,40 %,1,1,1,0,1,1,N/A,N/A,N/A,N/A,N/A,N/A,Wood frame construction.,"I suggest that the original intent when the house was constructed was to place the foundation 15' from the front property line, as were the corresponding houses on the opposite side of the street in this planned development. The 4"" error is now penalizing the Owners, creating the hardship. All the houses, which were designed with staggering setbacks, are consistent in their alignments (see Assessor's map).","None of the purposes of the Zoning Ordinance stated in Article 1.30 are weakened by this addition, notable the provision for adequate light and air, circulation and views.","If the front wall had been officially conforming (15' instead of the existing 14.7 setback), one could have been allowed by right to project the bay out 3'-6"". The present proposal projects out 2'-10"" to its maximum line. The rerslut is 4"" less than what would have been allowed.","The circumstance stated above is creating the hardship. The 4"" difference is not making any noticeable difference to the street. The two houses to the right are in exact alignment. The house on the left has a deliberately designed larger setback as part of the staggered design of the street.",,,,,,Cambridge,MA,01/14/2015
BZA-005419-2014,10/20/2014,Variance,Variance:  To park one car within a portion of the front yard setback.,Denied,"59 MARKET ST
Cambridge, MA
(42.36915, -71.097279)",,,Residential,Yes,No,Residential,No Change,Residence C-1 Zone,,,12/25/2014,01/29/2015,Yes,5.000,5.31 (Table of Dimensional Regulations).,10.000,10.30 (Variance).,6.000,6.44 (c) (Parking in the Front Yard Setback).,,,,,,,,,Petioner requests Variance relief to park one car within a portion of the front yard setback.,Variance:  To park one car within a portion of the front yard setback.,3654,No Change,1959,2613,No Change,5000 min,1.4,No Change,.75,2613,No Change,1500 min,No Change,41.01,50,No Change,75.40,0,10.1,No Change,h+l/4,13.0,No Change,h+l/4,3.2,No Change,h+l/5,4.6,No Change,h+l/5,"30'2""",No Change,35',"41'4""",No Change,0,"28'6""",No Change,0,35%,No Change,35%,1,No Change,1,0,1,1,0,No Change,0,n/a,No Change,n/a,Existing tree to be removed and side stairs to be reconfigured.  Additionally planting and landscaping to be added as proposed in attached rendering.,A literal enforcement of the provisions of the Ordinance would involve a substantial hardship to Petioner because there is a shortage of available on street parking due the lack of any parking regulations on the street including no “permit only parking”.  As a result many vehicles that are not registered in Massachusetts are routintely parking in front of Petioner’s house and on the street to avoid parking fines for other street that are regulated.Without relief Petitioner will suffer a substantial hardship on a daily basis to find parking in close proximity to their house.  Additionally (as shown in the photos) Petitioner’s requested parking area within the front yard setback is consistent with off-street parking of other properties on the street and will not deviate from the dimensional requirements of the ordinance except for parking in a portion of the front yard setback.,The requested parking location has support from the neighbors and abutters most directly affected by requested relief and will not have a detrimental affect on availability of onstreet parking as Petioner’s car will be removed from the street and only one parking space will be removed.,The requested relief will not substantially derogate from the intent or purpose of the ordinance as the relief is modest in nature and will provide enhanced quality of life and increased safety for Petitioners.,The Hardship is owing to the shape of the lot and that the siting of the non-conforming structure thereon providing the only suitable place for an off-street parking location is partially within the front yard setback.,,,,,,Cambridge,MA,01/14/2015
BZA-005478-2014,10/27/2014,Variance/Special Permit,Variance:  To construct a 2 story addition in the rear with a deck at ground level. Special Permit:  To add new windows in non-conforming walls.,Approved,"12 SACRAMENTO ST
Cambridge, MA
(42.382571, -71.118344)",,New Windows,Residential,Yes,Yes,Single-Family Residential,No change,Residence B Zone,01/03/2015,03/04/2015,01/03/2015,02/07/2015,Yes,5.000,5.31 (Table of Dimensional Requirements).,8.000,8.22.2.C (Non-Conforming Structure).,,,,,,,,,,,-Add new windows in nonconforming walls.-Enlarge floor area.Ranjit and I spoke with Petitioner Susan Friedmen regarding the Variance advertisement and we come up with the:  To construct a 2 story addition in the rear with a deck at ground level.,Variance:  To construct a 2 story addition in the rear with a deck at ground level. Special Permit:  To add new windows in non-conforming walls.,"3,131.79sf","3,906.88sf","3,087.62sf",6678.9sf,No Change,"5,000sf",.47,.58,".5 (1st 5,000sf) 0.35 (remainder)","6,678.9sf",No Change,"4,000sf",No Change,"46'-2""",50',No Change,No Change,No Change,30',No Change,15',70.2',"65'-6""",25',12.9',No Change,"7'-6""","3'-6""",No Change,"7'-6""","36'-4""",No Change,35',"44'-5""","49'-5""",--,"27'-5""","27'-5""",35' Max,70%,67%,40%,1,1,1,1,1,1,--,--,--,"56'-9"" to storage shed","51'-9"" to storage shed",10',Storage shed- 121 sfWood frame,WE WOULD LIKE TO EXPAND THE HOUSE TO ACCOMMODATE ELDERLY PERSONS ON THE FIRSTFLOOR. WE ALSO NEED TO CREATE A MASTER BEDROOM ON THE SECOND FLOOR. CURRENTLYTHE MASTER BEDROOM IS ON THE THIRD FLOOR WHICH IS NO LONGER SAFELY ACCESSIBLE TO US AS ITS STAIRCASE IS NON-CONFORMING.,"WE ARE NOT PROPOSING ANYTHING THAT WOULD BE A DETRIMENT TO THE PUBLIC GOOD.EVEN WITH THE ADDITIONAL SQUARE FOOTAGE THE HOUSE WILL BE SMALLER THAN THE STRUCTURES ON THE ADJACENT PROPERTIES. MOREOVER, THE EXISTING REAR OF THE HOUSE IS UNSIGHTLY AND POORLY DESIGNED. THE NEW ADDITION WILL SUBSTANTIALLYIMPROVE THIS EYESORE.",THE REQUESTED RELIEF WILL BE CONSISTENT WITH THE INTENT AND PURPOSE OF THE ORDINANCE BECAUSE THE INCREASED SQUARE FOOTAGE IS MINIMAL AND THE ADDITIONIS CONSISTENT WITH THE CHARACTER OF THE NEIGHBORHOOD.,N/A,"AS REQUIRED IN 8.22.2.C OF THE ORDINANCE, THE CHANGE IN NON-CONFORMING WALLSWILL NOT BE IN FURTHER VIOLATION OF THE DIMENSIONAL REQUIREMENTS OF ARTICLE 5.000.",THERE WILL BE NO ADDITIONAL PARKING OR TRAFFIC GENERATED BY THE INCREASED NUMBER OF WINDOWS AND WINDOW SIZES REQUESTED.,THE INCREASED NUMBER OF WINDOWS/WINDOW SIZES WILL NOT AFFECT THE OPERATIONOF DEVELOPMENT OF ANY ADJACENT USES.,"THE STEBACK RELIEF FOR INCREASED NUMBER OF WINDOWS/WINDOW SIZES ON THE EXISTING WALLS WILL NOT CREATE ANY HEALTH, SAFETY OR WELFARE COMPLICATIONSFOR US, OR FOR THE CITIZENS OF CAMBRIDGE.",IT IS WITHIN THE INTENT OF THE ORDINANCE TO ALLOW FOR CHANGES TO NON-CONFORMING WALLS WHICH ENCOURAGE IMPROVED LIVING CONDITIONS FOR THE OCCUPANTS AND ARE NOT A DETRIMENT TO ANY NEIGHBORS.,CAMBRIDGE,MA,01/29/2015
BZA-005543-2014,10/31/2014,Variance/Special Permit,Variance:  To construct a second story addition to existing structure and to convert it into a 3 unit dwelling. Special Permit:  To seek a modification to the parking setback requirements and dimensions.,Approved,"186 188 RIVER ST
Cambridge, MA
(42.36335, -71.110293)",,,Residential,Yes,Yes,,3 dwelling units,Business A-3 Zone,01/16/2015,03/04/2015,01/16/2015,02/20/2015,Yes,5.000,5.31 (Table of Dimensional Requirements).,6.000,6.42 (Parking Dimensions).,6.000,6.44.1 (Parking Setbacks).,10.000,10.30 (Variance).,10.000,10.40 (Special Permit).,5.000,5.26 (Conversion).,,,Petitioner seeks to construct a second story addition to existing structure and to convert it into a 3 unit dwelling.  Petitioner also seeks a modification to the parking setback requirements and dimensions.,Variance:  To construct a second story addition to existing structure and to convert it into a 3 unit dwelling. Special Permit:  To seek a modification to the parking setback requirements and dimensions.,"2,987","4,239","3,750","3,418",no change,"5,000",.87,1.24,.75,"3,418","1,140","1,500",no change,48.56',50',no change,52.77',n/a,0',no change,H+L/4 or 10',n/a,no change,n/a,0',no change,H+L/5,5.7',18',H+L/5,21.75',31.5',35',66.5',no change,N/A,40.5',no change,N/A,0,no change,30%,1,3,2.27,2,3,3,0,N/A,N/A,1.6',N/A,10',,A literal enforcement of the provisions of this Ordinance would prevent the applicant from converting this neglected building into a viable residential use.,The expansion of the second floor and conversion to a three family will have no impact on the public good as the building is surrounded by similar uses with similar densities.,"The proposed building will not further reduce the existing setbacks or open space.  Moreover, the restoration of the existing structure will preserve a significant piece of the fabric of the neighborhood and provide a welcome upgrade to this prominent corner.",The hardship is related to the condition of the existing structure and its location.,"Section 6.44.1 allows for modification of the setback requirements when, as in this case, site specific factors warrant.  The existing building footprint and the proximity of adjacent structures are such factors.",Traffic patterns into and out of the lot will not change.,The proposed use and building will be in greater conformity with the surrounding residential uses.,The reduced setbacks for the three parking spaces will not cause any harm to the health or welfare of the building's occupants or citizens of Cambridge.,The reduced setbacks will allow for conformity with the parking requirement,Cambridge,MA,02/26/2015
BZA-005673-2014,11/18/2014,Variance,"Variance:  To add (1) 15'-0"" dormer in the existing condo unit.  The building is an existing non-conforming structure with regard to FAR and setbacks.",Approved,"135 Pearl St
Cambridge, MA
(42.361401, -71.106198)",,"Proposed (1) 15'-0"" Dormer",102,Yes,No,Residential Condo,No Change,Residence C Zone,,,01/24/2015,02/28/2015,Yes,5.000,5.31 (Table of Dimensional Requirements).,,,,,,,,,,,,,"The proposed work is to add (1) 15'-0"" dormer in the existing condo unit.  The building is an existing non-conforming structure with regard to FAR and set backs.","Variance:  To add (1) 15'-0"" dormer in the existing condo unit.  The building is an existing non-conforming structure with regard to FAR and setbacks.",5.994 SF,"6,050 SF","3,490.5 SF","4,654 SF",no change,"5,000 SF MIN",1.28,1.299,.75 MAX,777.67,no change,"1,500",no change,43.42,na,no change,100',na,8.9',no change,15.67',1.2',no change,20.0',4.2,no change,10.1',4.6,no change,13.51,34.28',no change,35'.0',32.0',no change,na,20.0',no change,na,32%,no change,30%,6,no chaneg,na,4,no change,na,0,0,na,"24'.8""",no change,na,Existing construction is wood frame and painted wood shingle siding. Proposed dormer would match.  There is another free standing 2.5 story dwelling unit on the property. See stamped survey site plan.,"The owners purchased this unit for their son who has learning disabilities and attended the Threshold Program at Lesley Univ., a program for special needs students that focuses on independent living skills.  He completed the program and is living successfully on his own, and is able to live long term in Cambridge in this unit except that the low gable ceilings do not acocmodate an adult life style with regular size furniture and clear head heights in a way that is either functional or safe.  It was not known when they purchased this unit if this would work out permanently, however, their son is doing very well,  is gainfully employed and comfortable living independently.  Moving to a new location would be very disruptive for their son on many levels.  The addition of a single traditional 15'-0"" dormer would allow him to remain in this dwelling unit, comfortably and safely for years to come.","The proposed dormer adheres to most of the preferred dormer guidelines as the proposed dormer set backs at front, rear and side meet or exceed preferred dimensions and over 50% of the dormer wall consists of windows and associated trim.  However, there is an existing 10'-6"" dormer on the opposite side of the roof, and that older dormer meets the ridge line.  Therefore, it seems preferrable for the proposed dormer to to match the existing dormer profile and achieve symmetry in slope and roof profile.  The proposed dormer design is traditional in appearance, there is only a very modest increase in FAR (only 55.78 additional gross square feet), creates no new shadows on adjacent lots or increase in traffic flow.  Building height would not change, building footprint would not change, no open space would be lost.","The increae in FAR is extremely small. The existing non-compliant set backs are not made any worse by the proposed dormer.  The existing scale of the proposed dormer is modest, the existing scale and proportions of the existing house remain in-tact, and the new dormer will be very difficult to see from the street.  The exisiting house will continue to fit into the neighborhood aesthetically.  The other owners in this building, as well the neighbors remain unaffected and support this project.","This unit occupies the top floor of an older non-conforming 3 story multi-family building.  The only way to add the desired additional headroom to the unit is by means of a dormer.  However, the exisitng FAR and site set backs are non conforming.",,,,,,Portsmouth,NH,02/11/2015
BZA-002738-2013,11/14/2013,Special Permit,Special Permit:  To reduce required parking for Restaurant with capacity of 49 seats by 10 spaces.,Approved,"1071 Cambridge Street
Cambridge, MA
(42.372979, -71.095098)",,,Restaruant,No,Yes,Restaruant,Restaurant,Business A Zone,03/30/2014,06/25/2014,,,Yes,6.000,6.35 (Reduction of Required Parking).,6.000,6.36 (Parking Requirement).,,,,,,,,,,,49 Seat restaurant. Requesting waiver of 10 required parking spots.,Special Permit:  To reduce required parking for Restaurant with capacity of 49 seats by 10 spaces.,1500,NA,NA,9679,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.96,NA,NA,187.13,NA,0,NA,NA,12+,NA,NA,0,NA,NA,3,NA,NA,16,NA,NA,186,NA,NA,50,NA,NA,4%,NA,NA,NA,NA,NA,0,0,10,1,0,0,3,NA,NA,,,,,,The location is in close proximity to public transportation. Most business will be from people in the neighborhood walking to the location.,No new traffic will be gernerated.,The neighborhood is mostly commercial use.,The restaurant will blend into the comercial mixed area.,This is a restaurant with a reasonably priced menue for the its neighborhood patrons in the surround residential areas of the neighborhood.,"Boston,",MA,05/07/2014
